userId,churn,gender_num,level_num,iOS,Linux,Mac,Windows,AZ,SC,GA-AL,LA,MN,RI-MA,MA-CT,NJ,IL-MO,MN-WI,OR,PA-NJ,SC-NC,MD-WV,VA,NY-NJ-PA,KY,NH,MI,NV,WI,CA,CT,MT,NC,MD,NE-IA,IL,ND-MN,ME,WA,MS,AL,IN,AR-OK,OH,TN,NM,PA,SD,DC-VA-MD-WV,NY,MO-KS,KY-IN,PA-NJ-DE-MD,TX,VA-NC,GA,IL-IN-WI,OH-KY-IN,KS,MO-IL,FL,CO,AK,MA-NH,OK,TN-MS-AR,TN-VA,UT,NC-SC,IA-IL-MO,IA,WV,ID,VT,OR-WA,AR,UT-ID,HI,About,Add Friend,Add to Playlist,Downgrade,Error,Help,Home,Logout,NextSong,Roll Advert,Save Settings,Settings,Submit Downgrade,Submit Upgrade,Thumbs Down,Thumbs Up,Upgrade,num_artist,mean_duration,std_duration,num_sessions,subscription_age
10,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.7125890736342043,3.32541567695962,0.23752969121140144,0.23752969121140144,0.7125890736342043,3.5629453681710213,0.9501187648456058,85.5106888361045,0.0,0.0,0.4750593824228029,0.0,0.0,0.23752969121140144,4.038004750593824,0.0,307,25.04,0.0,1,10.368854166666667
100,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30007501875468867,1.7754438609652412,2.3505876469117277,1.000250062515629,0.07501875468867217,0.42510627656914224,3.3758439609902475,0.9002250562640659,84.57114278569642,0.2000500125031258,0.05001250312578145,0.42510627656914224,0.0,0.025006251562890724,0.9252313078269567,3.5758939734933737,0.025006251562890724,1964,5.841296296296296,6.280175597269775,39,65.09505787037037
100,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30007501875468867,1.7754438609652412,2.3505876469117277,1.000250062515629,0.07501875468867217,0.42510627656914224,3.3758439609902475,0.9002250562640659,84.57114278569642,0.2000500125031258,0.05001250312578145,0.42510627656914224,0.0,0.025006251562890724,0.9252313078269567,3.5758939734933737,0.025006251562890724,1964,5.841296296296296,6.280175597269775,39,65.09505787037037
100001,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7575757575757576,0.7575757575757576,2.272727272727273,0.0,0.0,0.7575757575757576,3.0303030303030303,1.5151515151515151,72.72727272727273,9.848484848484848,0.0,2.272727272727273,0.0,0.0,0.7575757575757576,3.787878787878788,1.5151515151515151,94,2.294351851851852,1.4066642622558585,3,44.72677083333333
100002,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.694915254237288,1.1299435028248588,0.0,1.1299435028248588,6.779661016949152,1.694915254237288,77.40112994350282,2.824858757062147,0.0,0.0,0.5649717514124294,0.5649717514124294,1.1299435028248588,4.519774011299435,0.5649717514124294,129,2.5043750000000005,2.083174146696085,4,129.76818287037037
100002,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.694915254237288,1.1299435028248588,0.0,1.1299435028248588,6.779661016949152,1.694915254237288,77.40112994350282,2.824858757062147,0.0,0.0,0.5649717514124294,0.5649717514124294,1.1299435028248588,4.519774011299435,0.5649717514124294,129,2.5043750000000005,2.083174146696085,4,129.76818287037037
100003,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24242424242424243,0.9696969696969697,2.3030303030303028,1.575757575757576,0.12121212121212122,0.36363636363636365,3.7575757575757573,1.4545454545454546,80.12121212121212,4.96969696969697,0.12121212121212122,0.48484848484848486,0.0,0.12121212121212122,1.2121212121212122,1.9393939393939394,0.24242424242424243,546,4.948796296296297,6.582846303187466,9,50.37324074074074
100003,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24242424242424243,0.9696969696969697,2.3030303030303028,1.575757575757576,0.12121212121212122,0.36363636363636365,3.7575757575757573,1.4545454545454546,80.12121212121212,4.96969696969697,0.12121212121212122,0.48484848484848486,0.0,0.12121212121212122,1.2121212121212122,1.9393939393939394,0.24242424242424243,546,4.948796296296297,6.582846303187466,9,50.37324074074074
100004,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.8867924528301887,1.8867924528301887,0.0,0.2695417789757413,1.3477088948787064,4.5822102425876015,2.4258760107816713,70.61994609164421,11.859838274932615,0.0,0.0,0.0,0.0,0.5390835579514826,4.0431266846361185,0.5390835579514826,243,3.7016111111111107,2.7804768650758853,5,126.75622685185185
100005,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0204081632653061,0.0,0.0,0.0,3.061224489795918,1.0204081632653061,73.46938775510205,17.346938775510203,0.0,0.0,0.0,0.0,1.0204081632653061,2.0408163265306123,1.0204081632653061,70,2.317222222222222,1.9952196342480417,2,71.8721412037037
